fingerprint,nickname,ip,or_port,dir_port,country,flags,bandwidth,last_seen
000004ACBB9D29BCBA17256BB35928DDBFC8ABA9,lisdex,152.53.144.50,,,de,"Fast,Running,Valid",40696832,2025-12-13 11:00:00
0000775396823734F953D22C238F0FE85DB6F390,SharingIsCaring,188.195.48.170,,,de,"Fast,HSDir,Running,Stable,V2Dir,Valid",899282,2025-12-13 11:00:00
000A10D43011EA4928A35F610405F92B4433B4DC,seele,104.53.221.159,,,us,"Fast,HSDir,Running,Stable,V2Dir,Valid",1042687,2025-12-13 11:00:00
000D11C0BF30C48FD81644ED2AA3D3733A5149D1,hubbabubbaABC,83.108.59.221,,,no,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",17182058,2025-12-13 11:00:00
000F3EB75342BE371F1D8D3FAE90890AEB5664EE,SENDNOOSEplz,204.137.14.106,,,us,"Exit,Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",15138158,2025-12-13 11:00:00
0011254CC8444369B20EF11156B8990438221A54,titamon3,178.218.144.18,,,it,"Exit,Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",18370975,2025-12-13 11:00:00
00240ECB2B535AA4C1E1874D744DFA6AF2E5E941,skylarkRelay,95.111.230.178,,,de,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",12178986,2025-12-13 11:00:00
0024E93D8366B4169981EA5A07A9B7AC319E08C2,9g4net3,185.184.70.225,,,gb,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",9770051,2025-12-13 11:00:00
00251F9F626F0E741030AF54CE019B115D01697D,Quetzalcoatl,45.95.169.110,,,hr,"Exit,Fast,Guard,Running,Stable,V2Dir,Valid",8173568,2025-12-13 11:00:00
00283B5564E3072DCDDAB31D6EF622DD49BF524F,StarAppsMobley,84.234.21.98,,,ch,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",50267857,2025-12-13 11:00:00
0028C91CFBA3601F32F90EF9643BEF5ED031A658,ernies,80.239.189.84,,,se,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",11701510,2025-12-13 11:00:00
0036FA36AB435FD5D0F640626636867EBFB72C68,ForPrivacyNET,185.220.101.33,,,de,"Exit,Fast,Guard,Running,Stable,V2Dir,Valid",33906688,2025-12-13 11:00:00
003A08F1ADC002D24979C68AA5A33369C04D9C7F,relayon0170,185.220.101.170,,,de,"Exit,Fast,Running,Stable,Valid",49404688,2025-12-13 11:00:00
003F0225684496F1D4243592E6A92E3F0C4A5947,Unnamed,8.219.15.13,,,sg,"Fast,HSDir,Running,Stable,V2Dir,Valid",1343358,2025-12-13 11:00:00
0040E1791755D340BA8109F4C1849666582CF56C,chali2na,64.65.62.145,,,us,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",9213261,2025-12-13 11:00:00
004F9A0513C84E72054CEB555DB51EEEF319546D,NTH22R5,192.42.116.174,,,nl,"Exit,Fast,Running,Stable,Valid",17479495,2025-12-13 11:00:00
0050875D8D60D3C0EDC54E61DCA5FCE8BA900289,ITSCTheLordMyLight,128.140.60.104,,,de,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",4904333,2025-12-13 11:00:00
0055DB090820D7C08999EC1598FD6EA6365861AD,NTH33R5,192.42.116.185,,,nl,"Exit,Fast,Running,Stable,Valid",16941679,2025-12-13 11:00:00
005A2425FAD0E62F9E83DB2C052DB8F75ADF0885,r0cket11i7,45.84.107.128,,,se,"Exit,Fast,Running,Stable,Valid",28460032,2025-12-13 11:00:00
005ED97213F725867E422B8DC0443361BBB24E3C,Athena,104.244.79.75,,,lu,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",32860911,2025-12-13 11:00:00
0061D22AFD1F06D4E6F35006BD3D9C21D7981EA9,eisbaer,109.70.100.70,,,at,"Exit,Fast,Running,Stable,Valid",24557568,2025-12-13 11:00:00
00698799187D98EB771B336237A7F48B487181B4,Unnamed,185.243.214.73,,,gr,"Running,Stable,StaleDesc,V2Dir,Valid",1033216,2025-12-13 11:00:00
0077640E103A829BF8228D42F95818DAD1E9D84C,anarchistcook,179.43.159.78,,,ch,"Exit,Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",6087044,2025-12-13 11:00:00
0077BCBA7244DB3E6A5ED2746E86170066684887,Quintex13,204.8.96.103,,,us,"Exit,Fast,HSDir,Running,Stable,V2Dir,Valid",3383536,2025-12-13 11:00:00
0077DDDDB54954214CFEE0FE8AA85DDC857E7C8A,venenata,71.19.144.65,,,us,"Fast,Running,Stable,Valid",3271680,2025-12-13 11:00:00
007F178ECF496433D38B0D151B70981DF55E2B8A,jollyjack,45.249.101.87,,,bd,"Fast,HSDir,Running,Stable,V2Dir,Valid",839645,2025-12-13 11:00:00
008196DC449482C73CFA9712445223917F760921,INSRelay42at8443,140.78.100.42,,,at,"Fast,Running,Stable,V2Dir,Valid",9413036,2025-12-13 11:00:00
008269B0D282617EBE0BB995461C78D77B7525F6,LoveOnlyMonero,185.153.55.208,,,se,"Fast,Running,Valid",21192400,2025-12-13 11:00:00
0082C49022C0811D45620D408E068835E2BABA71,HandsofGoldSpa,176.118.193.106,,,de,"BadExit,MiddleOnly,Running,Stable,Valid",126377,2025-12-13 11:00:00
0082FE19212D9681EEB2320A42ADF0390D231585,eo190,23.129.64.190,,,us,"Exit,Fast,HSDir,Running,Stable,V2Dir,Valid",9526235,2025-12-13 11:00:00
0084A1C8F870D73BB208F05E153FE47DF8B4C3D6,torplemmax,185.120.137.202,,,pl,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",11797584,2025-12-13 11:00:00
008640438049F7323CC42EBC5450767021225763,Ajax,206.189.6.56,,,us,"BadExit,Fast,MiddleOnly,Running,Valid",27344432,2025-12-13 11:00:00
008EA22C040A4B5C262551195B5C34B54F353D83,MaxRelay2,23.186.168.33,,,us,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",20933792,2025-12-13 11:00:00
008EAE223B110C8EDEE20D06FB0DD4C43E3E0142,FTPhalifaxRWTH,137.226.34.45,,,de,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",57967315,2025-12-13 11:00:00
008F10F88397C11C062217EAC35D782F03BDF4C7,NTH5R7,192.42.116.195,,,nl,"Exit,Fast,Running,Stable,Valid",18211650,2025-12-13 11:00:00
009312B5344D24F88E355051F5E126D65C0A4A70,UnshakledLiberty,15.204.199.47,,,us,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",18150465,2025-12-13 11:00:00
009EF5F8572D671AFCBBAD65998BA35B50EE04BC,NTH22R4,192.42.116.174,,,nl,"Exit,Fast,Running,Stable,Valid",15539516,2025-12-13 11:00:00
009F8EB6711FA3CCB39343A246B6BF27C9EEBB38,prsv,57.131.13.45,,,it,"Fast,Guard,Running,Stable,V2Dir,Valid",30181376,2025-12-13 11:00:00
00B438609546A9F608B4437B03496BA4023761A8,zgato,31.41.33.53,,,al,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",9611718,2025-12-13 11:00:00
00B57BF614F7ED3051073B5D4526FF0B23AF217B,mharelay,147.28.87.56,,,se,"Fast,Guard,HSDir,Running,Stable,V2Dir,Valid",14565950,2025-12-13 11:00:00
